Provincias de destino;Procedencia de los viajeros;Meses;Total
Bizkaia;Total;Total;2,41
Bizkaia;Total;Enero;1,95
Bizkaia;Total;Febrero;2,06
Bizkaia;Total;Marzo;2,14
Bizkaia;Total;Abril;2,22
Bizkaia;Total;Mayo;1,89
Bizkaia;Total;Junio;2,09
Bizkaia;Total;Julio;2,54
Bizkaia;Total;Agosto;3,57
Bizkaia;Total;Septiembre;2,08
Bizkaia;Total;Octubre;2,28
Bizkaia;Total;Noviembre;2,17
Bizkaia;Total;Diciembre;2,39
Bizkaia;Residentes en España;Total;2,45
Bizkaia;Residentes en España;Enero;1,92
Bizkaia;Residentes en España;Febrero;2,1
Bizkaia;Residentes en España;Marzo;2,18
Bizkaia;Residentes en España;Abril;2,27
Bizkaia;Residentes en España;Mayo;2,01
Bizkaia;Residentes en España;Junio;2,18
Bizkaia;Residentes en España;Julio;2,5
Bizkaia;Residentes en España;Agosto;3,63
Bizkaia;Residentes en España;Septiembre;2,19
Bizkaia;Residentes en España;Octubre;2,41
Bizkaia;Residentes en España;Noviembre;2,18
Bizkaia;Residentes en España;Diciembre;2,39
Bizkaia;No Residentes en España;Total;2,3
Bizkaia;No Residentes en España;Enero;2,24
Bizkaia;No Residentes en España;Febrero;1,8
Bizkaia;No Residentes en España;Marzo;1,67
Bizkaia;No Residentes en España;Abril;1,93
Bizkaia;No Residentes en España;Mayo;1,6
Bizkaia;No Residentes en España;Junio;1,86
Bizkaia;No Residentes en España;Julio;2,6
Bizkaia;No Residentes en España;Agosto;3,42
Bizkaia;No Residentes en España;Septiembre;1,85
Bizkaia;No Residentes en España;Octubre;1,88
Bizkaia;No Residentes en España;Noviembre;2,02
Bizkaia;No Residentes en España;Diciembre;2,41
Burgos;Total;Total;2,26
Burgos;Total;Enero;1,9
Burgos;Total;Febrero;1,94
Burgos;Total;Marzo;1,96
Burgos;Total;Abril;2,22
Burgos;Total;Mayo;1,81
Burgos;Total;Junio;1,82
Burgos;Total;Julio;2,41
Burgos;Total;Agosto;3,05
Burgos;Total;Septiembre;2,14
Burgos;Total;Octubre;2,34
Burgos;Total;Noviembre;1,88
Burgos;Total;Diciembre;2,54
Burgos;Residentes en España;Total;2,37
Burgos;Residentes en España;Enero;1,95
Burgos;Residentes en España;Febrero;1,99
Burgos;Residentes en España;Marzo;1,99
Burgos;Residentes en España;Abril;2,31
Burgos;Residentes en España;Mayo;1,97
Burgos;Residentes en España;Junio;1,91
Burgos;Residentes en España;Julio;2,58
Burgos;Residentes en España;Agosto;3,32
Burgos;Residentes en España;Septiembre;2,27
Burgos;Residentes en España;Octubre;2,37
Burgos;Residentes en España;Noviembre;1,89
Burgos;Residentes en España;Diciembre;2,59
Burgos;No Residentes en España;Total;1,47
Burgos;No Residentes en España;Enero;1,29
Burgos;No Residentes en España;Febrero;1,06
Burgos;No Residentes en España;Marzo;1,36
Burgos;No Residentes en España;Abril;1,12
Burgos;No Residentes en España;Mayo;1,21
Burgos;No Residentes en España;Junio;1,34
Burgos;No Residentes en España;Julio;1,43
Burgos;No Residentes en España;Agosto;1,43
Burgos;No Residentes en España;Septiembre;1,53
Burgos;No Residentes en España;Octubre;2,07
Burgos;No Residentes en España;Noviembre;1,79
Burgos;No Residentes en España;Diciembre;1,83
Cáceres;Total;Total;2,27
Cáceres;Total;Enero;2,21
Cáceres;Total;Febrero;2,14
Cáceres;Total;Marzo;1,98
Cáceres;Total;Abril;2,37
Cáceres;Total;Mayo;2,04
Cáceres;Total;Junio;2,04
Cáceres;Total;Julio;2,4
Cáceres;Total;Agosto;2,84
Cáceres;Total;Septiembre;2,11
Cáceres;Total;Octubre;2,07
Cáceres;Total;Noviembre;2
Cáceres;Total;Diciembre;2,46
Cáceres;Residentes en España;Total;2,23
Cáceres;Residentes en España;Enero;2,19
Cáceres;Residentes en España;Febrero;2,1
Cáceres;Residentes en España;Marzo;1,97
Cáceres;Residentes en España;Abril;2,29
Cáceres;Residentes en España;Mayo;1,93
Cáceres;Residentes en España;Junio;1,97
Cáceres;Residentes en España;Julio;2,38
Cáceres;Residentes en España;Agosto;2,83
Cáceres;Residentes en España;Septiembre;2,06
Cáceres;Residentes en España;Octubre;2,03
Cáceres;Residentes en España;Noviembre;1,97
Cáceres;Residentes en España;Diciembre;2,46
Cáceres;No Residentes en España;Total;2,67
Cáceres;No Residentes en España;Enero;2,49
Cáceres;No Residentes en España;Febrero;3,31
Cáceres;No Residentes en España;Marzo;2,1
Cáceres;No Residentes en España;Abril;3,12
Cáceres;No Residentes en España;Mayo;2,55
Cáceres;No Residentes en España;Junio;2,71
Cáceres;No Residentes en España;Julio;2,6
Cáceres;No Residentes en España;Agosto;2,96
Cáceres;No Residentes en España;Septiembre;2,6
Cáceres;No Residentes en España;Octubre;2,41
Cáceres;No Residentes en España;Noviembre;2,36
Cáceres;No Residentes en España;Diciembre;2,29
Cádiz;Total;Total;2,43
Cádiz;Total;Enero;1,89
Cádiz;Total;Febrero;2,09
Cádiz;Total;Marzo;2,18
Cádiz;Total;Abril;2,17
Cádiz;Total;Mayo;2,21
Cádiz;Total;Junio;2,49
Cádiz;Total;Julio;3,03
Cádiz;Total;Agosto;3,07
Cádiz;Total;Septiembre;2,35
Cádiz;Total;Octubre;2,08
Cádiz;Total;Noviembre;2,04
Cádiz;Total;Diciembre;2,44
Cádiz;Residentes en España;Total;2,45
Cádiz;Residentes en España;Enero;1,76
Cádiz;Residentes en España;Febrero;2,01
Cádiz;Residentes en España;Marzo;2,17
Cádiz;Residentes en España;Abril;2,3
Cádiz;Residentes en España;Mayo;2,11
Cádiz;Residentes en España;Junio;2,48
Cádiz;Residentes en España;Julio;3,06
Cádiz;Residentes en España;Agosto;3,15
